순위,도서번호,도서명,링크,저자,출판사,출판일,판매가,정가,할인율,판매지수
578,95343845,밑바닥부터 시작하는 딥러닝 3,https://www.yes24.com/product/goods/95343845,사이토 고키 저/개앞맵시 역,한빛미디어,2020년 11월,"34,200","38,000",10%,"1,968"
579,95162490,실무에 바로 쓰는 일잘러의 보고서 작성법,https://www.yes24.com/product/goods/95162490,김마라,제이펍,2020년 11월,"16,200","18,000",10%,"4,578"
580,91887223,양자 컴퓨터 원리와 수학적 기초,https://www.yes24.com/product/goods/91887223,크리스 베른하트 저/이정문 역,에이콘출판사,2020년 08월,"22,500","25,000",10%,"1,104"
581,91574113,딥러닝을 위한 선형대수학,https://www.yes24.com/product/goods/91574113,길버트 스트랭 저/부산대학교 산업수학센터(FFMIMC) 역,한빛아카데미,2020년 08월,"34,200","38,000",10%,"1,098"
582,91219874,Do it! 자료구조와 함께 배우는 알고리즘 입문 : 파이썬 편,https://www.yes24.com/product/goods/91219874,시바타 보요 저/강민 역,이지스퍼블리싱,2020년 07월,"19,800","22,000",10%,"2,232"
583,90613346,SQL 전문가 가이드,https://www.yes24.com/product/goods/90613346,한국데이터산업진흥원,한국데이터산업진흥원,2021년 03월,"50,000","50,000",,"1,266"
584,89941517,디지털 리터러시 교실,https://www.yes24.com/product/goods/89941517,"박일준, 김묘은",북스토리,2020년 04월,"18,000","20,000",10%,252
585,89849924,세럼 사운드 디자인 비법,https://www.yes24.com/product/goods/89849924,"김경윤, 오석빈",위키북스,2020년 04월,"25,200","28,000",10%,588
586,89605439,단단한 강화학습,https://www.yes24.com/product/goods/89605439,"리처드 서튼, 앤드류 바르토 저/김성우 역",제이펍,2020년 03월,"31,500","35,000",10%,"1,764"
587,86006680,엑셀 기초,https://www.yes24.com/product/goods/86006680,(주)지아이에듀테크,아이콕스(iCox),2020년 01월,"9,900","11,000",10%,"1,986"
588,85477574,한권으로 파이썬 데이터 사이언스 입문 AtoZ,https://www.yes24.com/product/goods/85477574,"문성혁, 문용준",잇플ITPLE,2020년 01월,"26,100","29,000",10%,132
589,84909414,임베디드 OS 개발 프로젝트,https://www.yes24.com/product/goods/84909414,이만우,인사이트(insight),2019년 12월,"21,600","24,000",10%,546
590,84645870,된다! 파워포인트 실무의 신,https://www.yes24.com/product/goods/84645870,"김지훈, 김봉정, 박성용",이지스퍼블리싱,2019년 12월,"17,550","19,500",10%,882
591,77126121,다시 미분 적분,https://www.yes24.com/product/goods/77126121,나가노 히로유키 저/장진희 역,길벗,2019년 07월,"16,200","18,000",10%,"1,344"
592,74219491,오브젝트,https://www.yes24.com/product/goods/74219491,조영호,위키북스,2019년 06월,"34,200","38,000",10%,"1,668"
593,73043556,서브스턴스 페인터 시작하기,https://www.yes24.com/product/goods/73043556,이경민,비엘북스,2019년 05월,"31,500","35,000",10%,144
594,61791203,"프로그래머, 수학으로 생각하라",https://www.yes24.com/product/goods/61791203,유키 히로시 저/안동현 역,프리렉,2018년 07월,"18,000","20,000",10%,870
595,61388749,전자공학 만능 레시피,https://www.yes24.com/product/goods/61388749,사이먼 몽크 저/이하영 역,인사이트(insight),2018년 06월,"28,800","32,000",10%,738
596,29229139,"알고리즘으로 배우는 인공지능, 머신러닝, 딥러닝 입문",https://www.yes24.com/product/goods/29229139,김의중,위키북스,2016년 07월,"24,300","27,000",10%,348
597,27767709,게임 프로그래밍 패턴,https://www.yes24.com/product/goods/27767709,로버트 나이스트롬 저 / 박일 역,한빛미디어,2016년 06월,"31,500","35,000",10%,"1,116"
598,24767236,게임 프로그래머로 산다는 것,https://www.yes24.com/product/goods/24767236,"김성완, 정재원, 이국현, 김상천, 김용준, 최영준 공",로드북,2016년 03월,"14,400","16,000",10%,252
599,24348676,C 언어 프로그래밍,https://www.yes24.com/product/goods/24348676,"Brian W. Kernighan, Dennis M. Ritchie 공저 / 김석환, 박용규, 최홍순 공",휴먼싸이언스,2016년 02월,"25,000","25,000",,762
600,23951885,컴퓨터 프로그램의 구조와 해석,https://www.yes24.com/product/goods/23951885,"해럴드 애빌슨, 제럴드 제이 서스먼, 줄리 서스먼 공저 / 김재우, 안윤호, 김수정, 김정민 공역 / 이광근 감수",인사이트(insight),2016년 01월,"38,700","43,000",10%,492
601,17525589,Effective C++ 이펙티브 C++,https://www.yes24.com/product/goods/17525589,스콧 마이어스 저 / 곽용재 역,프로텍미디어,2015년 03월,"26,000","26,000",,"1,260"
602,11775117,린 분석,https://www.yes24.com/product/goods/11775117,"앨리스테어 크롤, 벤저민 요스코비츠 공저 / 위선주 역",한빛미디어,2014년 01월,"25,200","28,000",10%,"1,590"
